,,,,,,,,,,,,
회사명,종목코드,사업연도,결산월,업종,업종별,주식배당,현금배당,,,,,
,,,,,배당율,(배당기준일),액면가,기말주식수,주당배당금,배당성향,총배당금액,시가배당률
SBI핀테크솔루션즈,950110,2021,03,-,-,-,0,"24,048,040",174,50.731,"4,013,800,820",2.000
SBS,034120,2021,12,서비스업,0.43,-,"5,000","18,252,582","1,000",12.215,"17,690,068,000",2.200
SBS콘텐츠허브,046140,2021,12,오락·문화,0.04,-,500,"21,463,555",75,9.778,"1,452,791,625",0.900
SBW생명과학,151910,2021,12,IT부품,0.36,-,100,"148,625,347",-,-,-,-
SCI평가정보,036120,2021,12,기타서비스,0.5,-,500,"35,500,000",40,23.610,"1,383,521,200",1.180
SDN,099220,2021,12,유통,0.36,-,500,"53,169,438",-,-,-,-
SFA반도체,036540,2021,12,반도체,0.42,-,500,"164,460,303",-,-,-,-
SG,255220,2021,12,비금속,0.88,-,100,"41,340,267",-,-,-,-
SG&G,040610,2021,12,운송장비·부품,0.36,-,500,"34,087,196",-,-,-,-
SGA,049470,2021,12,소프트웨어,0.32,-,"1,000","52,862,249",-,-,-,-
SGA솔루션즈,184230,2021,12,소프트웨어,0.32,-,100,"46,175,806",-,-,-,-
SGC에너지,005090,2021,12,전기가스업,4.22,-,"5,000","14,677,004","1,500",21.943,"21,610,863,000",3.300
SGC이테크건설,016250,2021,12,건설,1.48,0.3 / (2021-12-31),"5,000","2,024,247","1,500",4.134,"2,875,992,000",1.900
SG글로벌,001380,2021,12,운수장비,1.02,-,500,"44,964,143",-,-,-,-
SG세계물산,004060,2021,12,유통업,1.59,-,500,"202,424,960",-,-,-,-
SHD,001770,2021,12,철강금속,2.09,-,"5,000","1,214,878",100,2.097 *,"121,487,800",0.300
SH에너지화학,002360,2021,12,화학,1.1,-,500,"111,133,730",10,179.528,"1,096,914,830",1.000
SIMPAC,009160,2021,12,기계,0.76,-,500,"65,429,516",200,12.300,"11,172,128,600",3.100
SK,034730,2021,12,금융업,2.61,-,200,"74,149,329","8,000",7.827,"447,593,992,400",3.100
SK5호스팩,337450,2021,12,금융,1.34,-,100,"4,310,000",-,-,-,-
SK6호스팩,340350,2021,12,금융,1.34,-,100,"5,710,000",-,-,-,-
SKC,011790,2021,12,화학,1.1,-,"5,000","37,868,298","1,100",11.528,"39,463,964,100",0.640
SK가스,018670,2021,12,유통업,1.59,-,"5,000","9,230,244","5,100",18.363,"45,772,734,600",3.800
SK네트웍스,001740,2021,12,유통업,1.59,-,"2,500","248,187,647",120,25.340,"26,236,680,665",2.400
SK디스커버리,006120,2021,12,금융업,2.61,-,"5,000","19,037,855","1,500",10.925,"29,748,877,400",3.200
SK디앤디,210980,2021,12,서비스업,0.43,-,"1,000","22,190,164",800,14.813,"19,795,619,200",2.540
