,기업명,동향
1210,제이엠텔레콤,0.29
1211,엘지에스,0.33
1212,오디텍,0.4
1213,미래나노텍,0.5
1214,상보,0.33
1215,아이에스시테크놀러지,0.0
1216,네오티스,0.0
1217,바이오톡스텍,0.88
1218,에스티엑스팬오션(유가),0.88
1219,옴니시스템,0.87
1220,연이정보통신,0.86
1221,푸른기술,0.92
1222,웨이브일렉트로닉스,1.0
1223,넥스지,1.0
1224,빅솔론,1.0
1225,3노드디지탈,1.0
1226,에스엔케이폴리텍,1.0
1227,아구스,1.0
1228,아로마소프트,1.0
1229,에코프로,1.0
1230,바로비젼,1.0
1231,메모리앤테스팅,1.0
1232,컴투스,1.0
1233,디지텍시스템스,1.0
1234,삼성카드(유가),1.0
1235,엔텔스,1.0
1236,풍강,1.0
1237,케이프,1.0
1238,동국제약,1.0
1239,상신이디피,1.0
1240,잘만테크,1.0
1241,한라레벨,1.0
1242,에버테크노,1.0
1243,에프알텍,1.0
1244,이엠텍,1.0
1245,이트레이드증권,1.0
1246,오스템임플란트,1.0
1247,나노캠텍,1.0
1248,네오팜,1.0
1249,비에이치,1.0
1250,젯텍,1.0
1251,동아엘텍,1.0
1252,신양엔지니어링,1.0
1253,아비스타(유가),1.0
1254,디앤티,1.0
1255,펜타마이크로,1.0
1256,휴온스,1.0
1257,한국컴퓨터,1.0
1258,파트론,1.0
1259,유니테스트,1.0
