,기업명,수요예측일,청약일
559,퓨전데이타,2016.12.06,2016.12.13
560,디에스씨인베스트먼트,2016.12.05,2016.12.09
561,티에스인베스트먼트,2016.12.01,2016.12.08
562,마이크로프랜드,2016.11.28,2016.12.02
563,코썬바이오,2016.11.24,2016.12.01
564,신라젠,2016.11.23,2016.11.29
565,애니젠,2016.11.22,2016.11.29
566,유니온커뮤니티,2016.11.21,2016.11.29
567,IBKS스팩5호,2016.11.17,2016.11.23
568,퓨쳐켐,2016.11.16,2016.11.24
569,뉴파워프라즈마,2016.11.16,2016.11.22
570,핸즈코퍼레이션,2016.11.15,2016.11.23
571,오션브릿지,2016.11.15,2016.11.22
572,엘앤케이바이오,2016.11.14,2016.11.22
573,에이치엔티일렉트로닉스,2016.11.14,2016.11.18
574,핸디소프트,2016.11.07,2016.11.16
575,두산밥캣,2016.11.03,2016.11.09
576,에스케이스팩3호,2016.10.31,2016.11.08
577,삼성바이오로직스,2016.10.26,2016.11.03
578,클리오,2016.10.25,2016.11.01
579,오가닉티코스메틱,2016.10.20,2016.10.27
580,로고스바이오시스템스,2016.10.19,2016.10.27
581,아이비케이에스지엠비스팩,2016.10.18,2016.10.25
582,인크로스,2016.10.13,2016.10.21
583,에이치엘사이언스(구.건강사랑),2016.10.12,2016.10.20
