,name,type,day,gongmo_p,sicho_p
431,하나제약(유가),kospi,20181002,26000,30100
432,크리스에프앤씨,kosdaq,20181001,30000,27000
433,IBKS스팩10호,kosdaq,20180921,2000,2110
434,지티지웰니스,kosdaq,20180921,11000,15250
435,우진아이엔에스(유가),kospi,20180914,15000,15150
436,삼성스팩2호,kosdaq,20180913,2000,2030
437,명성티엔에스,kosdaq,20180913,20000,22000
438,디지캡,kosdaq,20180907,12000,13250
439,대신밸런스스팩5호,kosdaq,20180830,2000,2050
440,액트로,kosdaq,20180828,20000,20700
441,오파스넷,kosdaq,20180824,11000,18000
442,에이피티씨,kosdaq,20180823,9000,9310
443,바이오솔루션,kosdaq,20180820,29000,28200
444,대유,kosdaq,20180810,9000,13250
445,신한알파리츠(유가),kospi,20180808,5000,5330
446,디아이티,kosdaq,20180807,10000,10550
447,에스에스알,kosdaq,20180806,9000,18000
448,휴네시온,kosdaq,20180802,10000,15000
449,티웨이항공(유가),kospi,20180801,12000,11600
450,롯데정보통신(유가),kospi,20180727,29800,30550
451,한국유니온제약,kosdaq,20180726,18000,23000
452,엠코르셋,kosdaq,20180723,11500,11050
453,IBKS스팩9호,kosdaq,20180720,2000,2250
454,올릭스,kosdaq,20180718,36000,72000
455,아이큐어,kosdaq,20180712,65000,58500
456,에스브이인베스트먼트,kosdaq,20180706,7000,9000
457,이리츠코크렙기업(유가),kospi,20180627,5000,5010
458,이원다이애그노믹스,kosdaq,20180626,6500,9000
459,하나금융스팩11호,kosdaq,20180608,2000,2000
460,파워넷,kosdaq,20180607,6500,10100
461,현대사료,kosdaq,20180601,6600,13200
462,세종메디칼,kosdaq,20180529,15000,23100
463,제노레이,kosdaq,20180528,23000,45900
464,한국스팩7호,kosdaq,20180511,2000,2000
465,유안타스팩3호,kosdaq,20180508,2000,1980
466,제이티씨(JTC),kosdaq,20180406,8500,14050
467,대신밸런스스팩3호,kosdaq,20180404,2000,2005
468,케어랩스,kosdaq,20180328,20000,40000
469,애경산업(유가),kospi,20180322,29100,28000
470,에코마이스터,kosdaq,20180315,5200,7000
471,린드먼아시아인베스트먼트,kosdaq,20180314,6500,13000
472,오스테오닉,kosdaq,20180222,7700,15400
473,엔지켐생명과학,kosdaq,20180221,56000,87000
474,동구바이오제약,kosdaq,20180213,16000,32000
475,알리코제약,kosdaq,20180212,12000,18100
476,아시아종묘,kosdaq,20180212,4500,4520
477,카페24,kosdaq,20180208,57000,84500
478,링크제니시스,kosdaq,20180205,30000,53000
479,배럴,kosdaq,20180201,9500,10400
480,에스지이,kosdaq,20180126,6000,5400
481,씨앤지하이테크,kosdaq,20180125,16000,18600
482,시스웍,kosdaq,20171226,2800,3810
483,한국스팩6호,kosdaq,20171221,2000,1965
484,디바이스이엔지,kosdaq,20171220,12000,10800
485,동부스팩5호,kosdaq,20171212,2000,2010
486,동양피스톤(유가),kospi,20171208,5700,5130
487,진에어(유가),kospi,20171208,31800,31800
488,씨티케이코스메틱스,kosdaq,20171207,55000,49500
489,메카로,kosdaq,20171206,33000,43000
490,에스트래픽,kosdaq,20171205,10000,20000
491,체리부로,kosdaq,20171204,4700,5020
492,대원,kosdaq,20171201,15000,16000
493,비즈니스온커뮤니케이션,kosdaq,20171130,9000,16900
494,삼양패키징(유가),kospi,20171129,26000,25750
495,한화에이스스팩4호,kosdaq,20171127,2000,2010
496,스튜디오드래곤,kosdaq,20171124,35000,55300
497,IBKS스팩7호,kosdaq,20171110,2000,2030
498,비디아이,kosdaq,20171109,10000,17600
499,티슈진,kosdaq,20171106,27000,52000
500,테이팩스(유가),kospi,20171031,23000,26600
501,영화테크,kosdaq,20171026,12500,25000
502,세원,kosdaq,20171020,5700,8600
503,신한스팩4호,kosdaq,20171020,2000,2000
504,상신전자,kosdaq,20171016,13300,13300
505,야스,kosdaq,20170929,23500,21150
506,IBKS스팩8호,kosdaq,20170929,2000,2080
507,에스엔피월드,kosdaq,20170928,5100,5100
508,유티아이,kosdaq,20170927,25000,22500
509,신흥에스이씨,kosdaq,20170927,16000,29400
510,선익시스템,kosdaq,20170920,37000,33300
511,엠플러스,kosdaq,20170920,18000,28350
512,앱클론,kosdaq,20170918,10000,20000
513,샘코,kosdaq,20170915,11000,12000
514,펄어비스,kosdaq,20170914,103000,92700
515,케이피에스,kosdaq,20170906,14000,13500
516,덕우전자,kosdaq,20170828,15500,16900
517,이더블유케이,kosdaq,20170822,5000,10000
518,하나금융스팩10호,kosdaq,20170822,2000,2020
519,알에스오토메이션,kosdaq,20170811,6000,11950
520,컬러레이,kosdaq,20170810,3800,3660
521,엔에이치스팩12호,kosdaq,20170807,2000,2040
522,모트렉스,kosdaq,20170804,38300,38000
523,데이타솔루션,kosdaq,20170803,3300,6600
524,지니언스,kosdaq,20170802,13500,20050
525,디앤씨미디어,kosdaq,20170801,20000,32300
526,셀트리온헬스케어,kosdaq,20170728,41000,43650
527,이즈미디어,kosdaq,20170726,7500,8400
528,한국스팩5호,kosdaq,20170724,2000,2020
529,힘스,kosdaq,20170720,20000,32500
530,브이원텍,kosdaq,20170713,17700,20100
531,아우딘퓨쳐스,kosdaq,20170712,26000,23400
532,제일홀딩스,kosdaq,20170630,20700,18650
533,하나금융스팩9호,kosdaq,20170626,2000,1955
534,교보스팩7호,kosdaq,20170622,2000,2020
535,한화수성스팩,kosdaq,20170608,2000,2020
536,보라티알,kosdaq,20170608,14300,18900
