Unnamed: 0,date,기업검색량,기업명
2,2022-07-31,19.45031,에이치케이이노엔
3,2022-08-01,87.94926,에이치케이이노엔
4,2022-08-02,98.52008,에이치케이이노엔
5,2022-08-03,90.90909,에이치케이이노엔
6,2022-08-04,91.75475,에이치케이이노엔
0,2022-07-29,60.83738,카카오뱅크
1,2022-07-30,16.03424,카카오뱅크
2,2022-07-31,14.27743,카카오뱅크
3,2022-08-01,56.26699,카카오뱅크
4,2022-08-02,51.98421,카카오뱅크
5,2022-08-03,92.78994,카카오뱅크
6,2022-08-04,100.0,카카오뱅크
0,2022-07-29,100.0,크래프톤
1,2022-07-30,19.64215,크래프톤
2,2022-07-31,15.01289,크래프톤
3,2022-08-01,43.39792,크래프톤
4,2022-08-02,32.53379,크래프톤
5,2022-08-03,41.78451,크래프톤
6,2022-08-04,48.56629,크래프톤
0,2022-07-29,62.36399,에브리봇
1,2022-07-30,35.6083,에브리봇
2,2022-07-31,36.3996,에브리봇
3,2022-08-01,67.43323000000001,에브리봇
4,2022-08-02,100.0,에브리봇
5,2022-08-03,70.57368000000002,에브리봇
6,2022-08-04,82.54203000000003,에브리봇
0,2022-07-29,48.04487,맥스트
1,2022-07-30,8.18346,맥스트
2,2022-07-31,7.49051,맥스트
3,2022-08-01,47.13743,맥스트
4,2022-08-02,43.11169,맥스트
5,2022-08-03,57.56475,맥스트
6,2022-08-04,100.0,맥스트
0,2022-07-29,83.43217,큐라클
1,2022-07-30,20.27427,큐라클
2,2022-07-31,17.08673,큐라클
3,2022-08-01,100.0,큐라클
4,2022-08-02,78.50259,큐라클
