,cor_name,cor_rate,obligation,market_type,listed_date,offer_price,sicho_p,profit_percent,sales,profit,shares_to_pub,sub_rate,pre_demand_day,subs_day,l_exp_offer_price,h_exp_offer_price,score
131,앱코,1141.02,3.64,0,20201202,24300,30150,24.07,84271,3474.0,0.8,978.13,2020.11.17,2020.11.24,21400,24300,0.19
132,클리노믹스,494.2,2.05,0,20201204,13900,18500,33.09,4101,-5760.0,1.0,341.46,2020.11.17,2020.11.24,10900,13900,0.35
133,엔에프씨,979.94,6.15,0,20201202,13400,20700,54.48,32860,6572.0,1.0,643.85,2020.11.16,2020.11.24,10200,13400,0.24
134,포인트모바일,1447.07,18.19,0,20201203,15000,30000,100.0,62181,8494.0,0.85,1842.97,2020.11.16,2020.11.24,13000,15000,0.28
135,제일전기공업,1196.21,8.86,0,20201126,17000,34000,100.0,146148,14127.0,0.5,1396.1,2020.11.10,2020.11.18,15000,17000,0.39
136,티앤엘,338.91,0.41,0,20201120,36000,72000,100.0,32655,7286.0,1.0,1109.19,2020.11.9,2020.11.13,34000,38000,0.41
137,하나기술,1393.98,16.83,0,20201125,35000,70000,100.0,59294,4317.0,1.0,1802.1,2020.11.9,2020.11.16,31000,35000,0.54
138,에이플러스에셋어드바이저,3.66,25.4,1,20201120,7500,8100,8.0,269373,15385.0,0.41,24.75,2020.11.5,2020.11.11,10500,12300,0.54
139,고바이오랩,64.33,0.03,0,20201118,15000,30000,100.0,577,-44067.0,1.0,566.54,2020.11.3,2020.11.10,18000,23000,0.3
140,네패스아크,707.7,1.6,0,20201117,26500,36200,36.6,54719,4653.0,1.0,830.21,2020.11.2,2020.11.10,23400,26500,0.22
141,교촌에프앤비,999.44,3.9,1,20201112,12300,23850,93.9,380091,29518.0,0.7,1318.29,2020.10.28,2020.11.4,10600,12300,0.29
142,소룩스,1135.7,0.8,0,20201106,10000,20000,100.0,71108,5794.0,0.82,1660.08,2020.10.23,2020.10.30,8000,10000,0.43
143,위드텍,1336.49,23.53,0,20201030,25000,37100,48.4,58061,11129.0,1.0,1185.51,2020.10.14,2020.10.21,21000,25000,0.47
144,센코,848.37,2.2,0,20201029,13000,13350,2.69,19835,-2411.0,0.82,366.42,2020.10.13,2020.10.21,10000,13000,0.42
145,바이브컴퍼니,1221.45,7.96,0,20201028,28000,40000,42.86,16298,-777.0,1.0,1266.22,2020.10.12,2020.10.20,23000,28000,0.35
146,미코바이오메드,159.15,0.02,0,20201022,15000,16100,7.33,4098,-13172.0,1.0,41.74,2020.10.6,2020.10.14,12000,15000,0.48
147,하이브,1117.25,43.85,1,20201015,135000,270000,100.0,587224,72424.0,1.0,606.97,2020.9.24,2020.10.6,105000,135000,0.06
148,넥스틴,30.25,23.3,0,20201008,75400,71100,-5.7,9394,-2625.0,1.0,13.92,2020.9.18,2020.9.25,61500,75400,0.49
149,원방테크,406.8,3.2,0,20200924,54300,48900,-9.94,118882,14592.0,0.3,348.77,2020.9.8,2020.9.16,43000,54300,0.35
150,비나텍,1098.1,22.47,0,20200923,33000,44000,33.33,42763,4405.0,1.0,1386.85,2020.9.7,2020.9.15,27000,32000,0.44
151,압타머사이언스,830.32,3.27,0,20200916,25000,28850,15.4,408,-3853.0,1.0,1251.29,2020.9.2,2020.9.8,20000,25000,0.3
152,비비씨,977.5,3.9,0,20200921,30700,27650,-9.93,19073,5653.0,0.79,464.19,2020.9.2,2020.9.10,27100,30700,0.42
153,핌스,1210.28,4.39,0,20200918,19000,21000,10.53,37783,5544.0,0.7,1161.84,2020.9.2,2020.9.10,15000,19000,0.37
154,카카오게임즈,1478.53,58.59,0,20200910,24000,48000,100.0,322392,33315.0,1.0,1524.8,2020.8.26,2020.9.2,20000,24000,0.3
155,피엔케이피부임상연구센타,1372.51,17.1,0,20200909,18300,28000,53.01,12499,5376.0,0.6,1727.11,2020.8.25,2020.9.1,16100,18300,0.48
156,아이디피,894.0,7.4,0,20200824,9800,13200,34.69,23230,2916.0,0.79,1149.83,2020.8.6,2020.8.12,8800,9800,0.47
157,셀레믹스,1203.41,5.41,0,20200821,20000,24900,24.5,5141,-2256.0,1.0,1176.45,2020.8.3,2020.8.11,16100,20000,0.35
158,영림원소프트랩,1269.3,4.3,0,20200812,11500,17600,53.04,37899,4127.0,1.0,2493.57,2020.7.27,2020.8.4,9500,11500,0.36
159,이루다,1316.5,7.8,0,20200806,9000,18000,100.0,17779,2031.0,0.8,3039.55,2020.7.20,2020.7.28,7500,9000,0.35
160,와이팜,407.01,8.01,0,20200731,11000,15550,41.36,125429,11334.0,0.5,712.13,2020.7.16,2020.7.22,9700,11000,0.46
161,이엔드디,1168.72,8.99,0,20200730,14400,18200,26.39,58313,6194.0,1.0,808.62,2020.7.14,2020.7.22,12350,14400,0.28
162,엠투아이,61.7,1.6,0,20200729,15600,18850,20.83,24715,6003.0,0.25,176.83,2020.7.9,2020.7.17,15600,18900,0.2
163,더네이쳐홀딩스,97.21,8.46,0,20200727,46000,41400,-10.0,235344,16142.0,0.83,151.9,2020.7.8,2020.7.16,45000,50000,0.18
164,제놀루션,1161.09,21.36,0,20200724,14000,28000,100.0,3951,-287.0,1.0,894.67,2020.7.8,2020.7.15,12000,14000,0.34
165,솔트룩스,528.17,5.58,0,20200723,25000,40000,60.0,15335,145.0,1.0,953.53,2020.7.7,2020.7.14,24000,30000,0.19
166,티에스아이,1283.73,4.97,0,20200722,10000,20000,100.0,60918,-12175.0,0.75,1621.1,2020.7.6,2020.7.14,7500,9500,0.28
167,에이프로,1090.8,10.46,0,20200716,21600,43200,100.0,67358,7578.0,1.0,1582.52,2020.7.2,2020.7.9,19000,21600,0.26
168,신도기연,1272.9,14.51,0,20200706,16000,32000,100.0,48854,3189.0,1.0,955.01,2020.6.22,2020.6.26,14000,16000,0.36
169,위더스제약,1033.41,17.36,0,20200703,15900,31800,100.0,51732,8661.0,0.62,1082.03,2020.6.18,2020.6.26,13900,15900,0.16
170,SK바이오팜,835.66,81.15,1,20200702,49000,98000,100.0,1069,-142139.0,0.68,323.03,2020.6.17,2020.6.24,36000,49000,0.29
171,마크로밀엠브레인,1056.8,19.39,0,20200701,6800,13600,100.0,39075,1952.0,1.0,888.01,2020.6.15,2020.6.19,5200,6400,0.19
172,엘이티,1255.9,24.5,0,20200622,7800,15600,100.0,40933,7172.0,1.0,1552.16,2020.6.4,2020.6.12,6400,7800,0.45
173,에스씨엠생명과학,1032.17,7.7,0,20200617,17000,29500,73.53,29,-40095.0,1.0,814.91,2020.6.2,2020.6.9,14000,17000,0.28
174,드림씨아이에스,926.11,6.82,0,20200522,14900,28000,87.92,19200,3417.0,1.0,669.22,2020.5.7,2020.5.13,13000,14900,0.28
