,cor_name,sales,profit,shares_to_pub,sub_rate,cor_rate,obligation,score,sum,t_score,market_type,listed_date,current_price,offer_price,h_exp_offer_price,l_exp_offer_price,target,st_price,end_price,search_amt,Trend
119,비나텍,42763,4405,1.0,1386.85,1098.1,22.47,-3,29,-0.103,0,20200923,44400,33000,27000,32000,40750,44000,33.33,0.029,0.85
120,압타머사이언스,408,-3853,1.0,1251.29,830.32,3.27,0,47,0.0,0,20200916,10900,25000,20000,25000,27750,28850,15.4,0.359,0.91
121,비비씨,19073,5653,0.78,464.19,977.5,3.9,8,40,0.2,0,20200921,11300,30700,27100,30700,22300,27650,-9.93,-0.002,0.92
122,핌스,37783,5544,0.7,1161.84,1210.28,4.39,0,31,0.0,0,20200918,14500,19000,15000,19000,18300,21000,10.53,-0.166,0.92
123,카카오게임즈,322392,33315,1.0,1524.8,1478.53,58.59,4,74,0.054,0,20200910,58100,24000,20000,24000,62400,48000,100.0,0.53,0.9
124,피엔케이피부임상연구센타,12499,5376,0.6,1727.11,1372.51,17.1,6,28,0.214,0,20200909,5500,18300,16100,18300,26800,28000,53.01,0.323,0.9
125,아이디피,23230,2916,0.79,1149.83,894.0,7.4,4,27,0.148,0,20200824,8700,9800,8800,9800,12500,13200,34.69,0.021,0.89
126,셀레믹스,5141,-2256,1.0,1176.45,1203.41,5.41,2,29,0.069,0,20200821,8720,20000,16100,20000,25800,24900,24.5,0.127,0.89
127,이루다,17779,2031,0.8,3039.55,1316.5,7.8,7,41,0.171,0,20200806,5640,9000,7500,9000,17650,18000,100.0,0.111,0.92
128,와이팜,125429,11334,0.5,712.13,407.01,8.01,1,30,0.033,0,20200731,4850,11000,9700,11000,18800,15550,41.36,0.143,0.92
129,이엔드디,58313,6194,1.0,808.62,1168.72,8.99,-1,34,-0.0289999999999999,0,20200730,27750,14400,12350,14400,21000,18200,26.39,-0.035,0.91
130,엠투아이,24715,6003,0.25,176.83,61.7,1.6,4,31,0.129,0,20200729,9370,15600,15600,18900,15900,18850,20.83,0.131,0.9
131,더네이쳐홀딩스,235344,16142,0.83,151.9,97.21,8.46,1,29,0.034,0,20200727,29700,46000,45000,50000,43000,41400,-10.0,-0.175,1.0
132,제놀루션,3951,-287,1.0,894.67,1161.09,21.36,6,36,0.1669999999999999,0,20200724,13150,14000,12000,14000,24750,28000,100.0,0.033,1.0
133,솔트룩스,15335,145,1.0,953.53,528.17,5.58,2,49,0.0409999999999999,0,20200723,10400,25000,24000,30000,34300,40000,60.0,-0.003,1.0
134,티에스아이,60918,-12175,0.74,1621.1,1283.73,4.97,7,40,0.175,0,20200722,10450,10000,7500,9500,17200,20000,100.0,-0.048,1.0
135,에이프로,67358,7578,1.0,1582.52,1090.8,10.46,6,48,0.125,0,20200716,12200,21600,19000,21600,56100,43200,100.0,-0.13,1.0
136,신도기연,48854,3189,1.0,955.01,1272.9,14.51,-3,43,-0.07,0,20200706,5120,16000,14000,16000,22400,32000,100.0,-0.156,1.0
137,위더스제약,51732,8661,0.62,1082.03,1033.41,17.36,2,47,0.043,0,20200703,8930,15900,13900,15900,34400,31800,100.0,-0.245,1.0
138,마크로밀엠브레인,39075,1952,1.0,888.01,1056.8,19.39,4,26,0.154,0,20200701,3605,6800,5200,6400,16050,13600,100.0,-0.112,1.0
139,엘이티,40933,7172,1.0,1552.16,1255.9,24.5,12,33,0.364,0,20200622,13750,7800,6400,7800,20250,15600,100.0,-0.055,1.0
140,에스씨엠생명과학,29,-40095,1.0,814.91,1032.17,7.7,3,29,0.103,0,20200617,12000,17000,14000,17000,36100,29500,73.53,0.44,1.0
