,cor_name,cor_rate,obligation
536,필옵틱스,647.18:1,13.25%
537,IBKS스팩6호,,0.00%
538,미래에셋대우스팩1호,,0.00%
539,엔에이치스팩10호,,0.00%
540,한화에이스스팩3호,,0.00%
541,하나머티리얼즈,689.90:1,49.73%
542,케이비스팩11호,,0.00%
543,넷마블게임즈,240.74:1,47.10%
544,와이엠티,706.16:1,42.75%
545,ING생명보험,3.97:1,0.13%
546,신영스팩3호,,0.00%
547,이엘피,527.12:1,11.26%
548,서진시스템,588.93:1,36.65%
549,코미코,580.68:1,30.91%
550,아스타,18.4:1,0.00%
551,덴티움,22.96:1,0.40%
552,대신밸런스스팩4호,,0.00%
553,에스디생명공학,26.66:1,0.00%
554,모바일어플라이언스,471.31:1,19.13%
555,신한스팩3호,,0.00%
556,에프엔에스테크,624.02:1,6.26%
557,신신제약,40.88:1,0.06%
558,피씨엘,6.61:1,0.46%
559,호전실업,40.43:1,2.50%
560,서플러스글로벌,81.31:1,1.04%
561,유바이오로직스,31.09:1,0.00%
562,엔에이치스팩11호,,0.00%
563,퓨전데이타,345.36:1,12.05%
564,디에스씨인베스트먼트,11.2:1,0.00%
565,티에스인베스트먼트,30.87:1,0.00%
566,마이크로프랜드,124.3:1,0.00%
567,코썬바이오,54.22:1,0.00%
568,신라젠,74.98:1,0.00%
569,애니젠,93.9:1,0.00%
570,유니온커뮤니티,134.5:1,0.00%
571,IBKS스팩5호,,0.00%
572,퓨쳐켐,62.51:1,0.00%
573,뉴파워프라즈마,501.2:1,7.80%
574,핸즈코퍼레이션,57.64:1,1.73%
575,오션브릿지,617.92:1,10.75%
576,엘앤케이바이오,220.1:1,0.00%
577,에이치엔티일렉트로닉스,132.1:1,0.00%
578,핸디소프트,262.22:1,0.00%
579,두산밥캣,9.81:1,0.00%
580,에스케이스팩3호,,0.00%
581,삼성바이오로직스,295.63:1,24.63%
582,클리오,153.08:1,10.42%
583,오가닉티코스메틱,672.02:1,11.30%
584,로고스바이오시스템스,190.16:1,0.53%
585,아이비케이에스지엠비스팩,,0.00%
586,인크로스,492.1:1,6.10%
587,에이치엘사이언스(구.건강사랑),274.19:1,5.60%
588,코스메카코리아,573.0:1,30.80%
589,제이더블유생명과학,224.57:1,7.41%
590,그레이트리치과기,140.75:1,4.32%
591,금세기차륜(골든센츄리),181.93:1,0.55%
592,인텔리안테크놀로지스,319:1,1.30%
593,에이치시티,95.67:1,11.60%
594,잉글우드랩,226.37:1,0.00%
595,앤디포스,406.09:1,10.60%
596,수산아이앤티(구.플러스기술),157.55:1,0.64%
597,미투온,73.1:1,0.00%
598,화승엔터프라이즈,48.46:1,0.21%
599,케이비스팩10호,,0.00%
600,엘에스전선아시아,30.57:1,0.00%
601,유니테크노,233.84:1,0.00%
602,교보비엔케이스팩,,0.00%
603,하나금융스팩8호,,0.00%
604,자이글,18.90:1,0.00%
605,헝셩그룹,93.06:1,0.00%
606,에코마케팅,941.86:1,0.00%
607,엔지스테크널러지,475.6:1,21.20%
608,두올,71.69:1,0.00%
609,팍스넷,753.07:1,5.19%
610,우리손에프앤지,455.1:1,40.40%
611,옵토팩,397.4:1,2.82%
612,장원테크,216.32:1,11.30%
613,대유위니아(구.위니아만도),76.75:1,1.32%
614,한국자산신탁,149.83:1,6.37%
615,바이오리더스,352.2:1,6.50%
616,피앤씨테크,306.39:1,10.89%
617,로스웰,386.96:1,26.60%
618,해성디에스,188.69:1,12.20%
619,에스티팜,717.41:1,60.03%
620,녹십자랩셀,733.72:1,51.66%
621,한국스팩4호,,0.00%
622,알엔투테크놀로지,570.26:1,0.00%
623,미래에셋스팩5호,,0.00%
624,용평리조트,28.1:1,0.10%
625,해태제과식품,342.99:1,24.63%
626,레이언스,430.31:1,20.70%
627,씨엠에스에듀,302.17:1,28.83%
