,cor_name,market_type,listed_date,offer_price,sicho_p,profit_percent,first_p
357,펌텍코리아,kosdaq,20190704,190000,171000,-10%,152300
358,에이에프더블류,kosdaq,20190701,22500,28000,24.44%,21750
359,신영스팩5호,kosdaq,20190624,2000,4000,100%,3740
360,케이비스팩18호,kosdaq,20190624,2000,2300,15%,2990
361,신한스팩5호,kosdaq,20190619,2000,3860,93%,2805
362,압타바이오,kosdaq,20190612,30000,50200,67.33%,38900
363,까스텔바쟉,kosdaq,20190610,12000,17000,41.67%,19250
364,마이크로디지탈,kosdaq,20190605,23000,41050,78.48%,39100
365,유진스팩4호,kosdaq,20190531,2000,2500,25%,3250
366,디비금융스팩7호,kosdaq,20190531,2000,2080,4%,2700
367,수젠텍,kosdaq,20190528,12000,11150,-7.08%,10150
368,컴퍼니케이파트너스,kosdaq,20190523,4500,8200,82.22%,10650
369,엔에이치스팩14호,kosdaq,20190508,2000,2115,5.75%,2030
370,에스앤케이,kosdaq,20190507,40400,36400,-9.9%,33650
371,한화에스비아이스팩,kosdaq,20190503,2000,2005,0.25%,2655
372,하이스팩4호,kosdaq,20190429,2000,2005,0.25%,2015
373,아모그린텍,kosdaq,20190329,9900,10300,4.04%,10200
374,현대오토에버(유가),kospi,20190328,48000,75500,57.29%,88700
375,지노믹트리,kosdaq,20190327,27000,29450,9.07%,27300
376,케이비스팩17호,kosdaq,20190327,2000,1995,-0.25%,2000
377,이지케어텍,kosdaq,20190322,12300,24600,100%,31950
378,유안타스팩4호,kosdaq,20190321,2000,2005,0.25%,2000
379,미래에셋벤처투자,kosdaq,20190315,4500,6150,36.67%,5310
380,드림텍(유가),kospi,20190314,13000,17350,33.46%,15400
381,에코프로비엠,kosdaq,20190305,48000,61100,27.29%,63200
382,셀리드,kosdaq,20190220,33000,43750,32.58%,51100
383,천보,kosdaq,20190211,40000,52500,31.25%,47650
384,이노테라피,kosdaq,20190201,18000,22200,23.33%,19350
385,노랑풍선,kosdaq,20190130,20000,30350,51.75%,34150
386,웹케시,kosdaq,20190125,26000,31700,21.92%,28500
387,에어부산(유가),kospi,20181227,3600,4020,11.67%,5220
388,비피도,kosdaq,20181226,18000,36000,100%,36500
389,키움스팩5호,kosdaq,20181226,2000,2000,0%,2010
390,엔에이치스팩13호,kosdaq,20181224,2000,2000,0%,2010
391,유틸렉스,kosdaq,20181224,50000,60100,20.2%,78100
392,신영스팩4호,kosdaq,20181221,2000,2005,0.25%,2005
393,미래에셋대우스팩2호,kosdaq,20181221,2000,2015,0.75%,2010
394,디케이티,kosdaq,20181221,7400,12900,74.32%,10550
395,한국스팩8호,kosdaq,20181220,2000,2005,0.25%,2005
396,삼성머스트스팩3호,kosdaq,20181220,2000,2005,0.25%,2000
397,위지윅스튜디오,kosdaq,20181220,11000,11250,2.27%,9350
398,대신밸런스스팩6호,kosdaq,20181219,2000,2005,0.25%,2000
399,에이비엘바이오,kosdaq,20181219,15000,13500,-10%,13650
400,머큐리,kosdaq,20181214,6100,9630,57.87%,7800
401,전진바이오팜,kosdaq,20181214,10000,11550,15.5%,12750
402,뉴트리,kosdaq,20181213,14500,13050,-10%,13900
403,골든브릿지이안스팩5호,kosdaq,20181212,2000,2000,0%,1995
404,이노메트리,kosdaq,20181212,26000,40000,53.85%,29550
405,대유에이피,kosdaq,20181207,3000,6000,100%,4935
406,에스케이에이씨피씨스팩4호,kosdaq,20181207,2000,2020,1%,2010
407,에코캡,kosdaq,20181205,4200,4100,-2.38%,5330
408,교보스팩8호,kosdaq,20181205,2000,2020,1%,2015
409,베스파,kosdaq,20181203,35000,33400,-4.57%,30000
410,윙입푸드,kosdaq,20181130,2000,1800,-10%,2340
411,하나머스트스팩6호,kosdaq,20181130,2000,2020,1%,2030
412,남화산업,kosdaq,20181129,3700,5610,51.62%,7290
413,엠아이텍,kosdaq,20181129,4500,4050,-10%,4770
414,티로보틱스,kosdaq,20181129,16000,14400,-10%,13050
