,cor_name,market_type,listed_date,offer_price,sicho_p,profit_percent
335,상상인이안스팩2호,kosdaq,20190830,2000,2150,7.5%
336,네오크레마,kosdaq,20190822,8000,9530,19.13%
337,미래에셋대우스팩3호,kosdaq,20190820,2000,2120,6%
338,마니커에프앤지,kosdaq,20190820,4000,8000,100%
339,나노브릭,kosdaq,20190819,16000,14400,-10%
340,에스피시스템스,kosdaq,20190814,4900,9800,100%
341,레이,kosdaq,20190808,20000,25150,25.75%
342,그린플러스,kosdaq,20190807,10000,11150,11.5%
343,코윈테크,kosdaq,20190805,34500,31050,-10%
344,덕산테코피아,kosdaq,20190802,19000,17100,-10%
345,슈프리마아이디,kosdaq,20190801,27000,34750,28.7%
346,한국바이오젠,kosdaq,20190801,6000,12000,100%
347,세경하이테크,kosdaq,20190730,35000,33250,-5%
348,윌링스,kosdaq,20190725,12500,22800,82.4%
349,대모(구.대모엔지니어링),kosdaq,20190724,5200,8710,67.5%
350,에이스토리,kosdaq,20190719,14300,12900,-9.79%
351,플리토,kosdaq,20190717,26000,31600,21.54%
352,이베스트이안스팩1호,kosdaq,20190715,2000,3040,52%
353,세틀뱅크,kosdaq,20190712,55000,49500,-10%
354,아이스크림에듀,kosdaq,20190711,15900,14350,-9.75%
355,펌텍코리아,kosdaq,20190704,190000,171000,-10%
356,에이에프더블류,kosdaq,20190701,22500,28000,24.44%
357,신영스팩5호,kosdaq,20190624,2000,4000,100%
358,케이비스팩18호,kosdaq,20190624,2000,2300,15%
359,신한스팩5호,kosdaq,20190619,2000,3860,93%
360,압타바이오,kosdaq,20190612,30000,50200,67.33%
361,까스텔바쟉,kosdaq,20190610,12000,17000,41.67%
362,마이크로디지탈,kosdaq,20190605,23000,41050,78.48%
363,유진스팩4호,kosdaq,20190531,2000,2500,25%
364,디비금융스팩7호,kosdaq,20190531,2000,2080,4%
365,수젠텍,kosdaq,20190528,12000,11150,-7.08%
366,컴퍼니케이파트너스,kosdaq,20190523,4500,8200,82.22%
367,엔에이치스팩14호,kosdaq,20190508,2000,2115,5.75%
368,에스앤케이,kosdaq,20190507,40400,36400,-9.9%
369,한화에스비아이스팩,kosdaq,20190503,2000,2005,0.25%
370,하이스팩4호,kosdaq,20190429,2000,2005,0.25%
371,아모그린텍,kosdaq,20190329,9900,10300,4.04%
372,현대오토에버(유가),kospi,20190328,48000,75500,57.29%
373,지노믹트리,kosdaq,20190327,27000,29450,9.07%
374,케이비스팩17호,kosdaq,20190327,2000,1995,-0.25%
375,이지케어텍,kosdaq,20190322,12300,24600,100%
376,유안타스팩4호,kosdaq,20190321,2000,2005,0.25%
377,미래에셋벤처투자,kosdaq,20190315,4500,6150,36.67%
378,드림텍(유가),kospi,20190314,13000,17350,33.46%
379,에코프로비엠,kosdaq,20190305,48000,61100,27.29%
380,셀리드,kosdaq,20190220,33000,43750,32.58%
381,천보,kosdaq,20190211,40000,52500,31.25%
382,이노테라피,kosdaq,20190201,18000,22200,23.33%
383,노랑풍선,kosdaq,20190130,20000,30350,51.75%
384,웹케시,kosdaq,20190125,26000,31700,21.92%
385,에어부산(유가),kospi,20181227,3600,4020,11.67%
386,비피도,kosdaq,20181226,18000,36000,100%
387,키움스팩5호,kosdaq,20181226,2000,2000,0%
388,엔에이치스팩13호,kosdaq,20181224,2000,2000,0%
389,유틸렉스,kosdaq,20181224,50000,60100,20.2%
390,신영스팩4호,kosdaq,20181221,2000,2005,0.25%
391,미래에셋대우스팩2호,kosdaq,20181221,2000,2015,0.75%
392,디케이티,kosdaq,20181221,7400,12900,74.32%
393,한국스팩8호,kosdaq,20181220,2000,2005,0.25%
394,삼성머스트스팩3호,kosdaq,20181220,2000,2005,0.25%
395,위지윅스튜디오,kosdaq,20181220,11000,11250,2.27%
396,대신밸런스스팩6호,kosdaq,20181219,2000,2005,0.25%
397,에이비엘바이오,kosdaq,20181219,15000,13500,-10%
398,머큐리,kosdaq,20181214,6100,9630,57.87%
399,전진바이오팜,kosdaq,20181214,10000,11550,15.5%
400,뉴트리,kosdaq,20181213,14500,13050,-10%
401,골든브릿지이안스팩5호,kosdaq,20181212,2000,2000,0%
402,이노메트리,kosdaq,20181212,26000,40000,53.85%
403,대유에이피,kosdaq,20181207,3000,6000,100%
404,에스케이에이씨피씨스팩4호,kosdaq,20181207,2000,2020,1%
405,에코캡,kosdaq,20181205,4200,4100,-2.38%
406,교보스팩8호,kosdaq,20181205,2000,2020,1%
407,베스파,kosdaq,20181203,35000,33400,-4.57%
408,윙입푸드,kosdaq,20181130,2000,1800,-10%
409,하나머스트스팩6호,kosdaq,20181130,2000,2020,1%
410,남화산업,kosdaq,20181129,3700,5610,51.62%
411,엠아이텍,kosdaq,20181129,4500,4050,-10%
412,티로보틱스,kosdaq,20181129,16000,14400,-10%
413,티앤알바이오팹,kosdaq,20181128,18000,16200,-10%
414,네오펙트,kosdaq,20181128,11000,9900,-10%
415,아시아나IDT(유가),kospi,20181123,15000,14300,-4.67%
416,디알젬,kosdaq,20181122,6500,8470,30.31%
417,싸이토젠,kosdaq,20181122,17000,17800,4.71%
418,파멥신,kosdaq,20181121,60000,58100,-3.17%
419,아주IB투자,kosdaq,20181121,1500,1350,-10%
420,디케이앤디,kosdaq,20181120,6000,7570,26.17%
421,디자인,kosdaq,20181115,10100,20200,100%
422,노바렉스,kosdaq,20181114,19000,25450,33.95%
423,셀리버리,kosdaq,20181109,25000,32000,28%
424,대보마그네틱,kosdaq,20181106,31000,60200,94.19%
425,노바텍,kosdaq,20181102,10000,14100,41%
426,엘앤씨바이오,kosdaq,20181101,24000,29800,24.17%
427,디비금융스팩6호,kosdaq,20181031,2000,2010,0.5%
428,옵티팜,kosdaq,20181026,10000,9000,-10%
429,로보티즈,kosdaq,20181026,14000,28000,100%
430,에스퓨얼셀,kosdaq,20181015,16500,33000,100%
431,나우아이비캐피탈,kosdaq,20181004,8500,9300,9.41%
432,푸드나무,kosdaq,20181004,24000,43350,80.63%
433,하나제약(유가),kospi,20181002,26000,30100,15.77%
434,크리스에프앤씨,kosdaq,20181001,30000,27000,-10%
435,IBKS스팩10호,kosdaq,20180921,2000,2110,5.5%
436,지티지웰니스,kosdaq,20180921,11000,15250,38.64%
437,우진아이엔에스(유가),kospi,20180914,15000,15150,1%
438,삼성스팩2호,kosdaq,20180913,2000,2030,1.5%
439,명성티엔에스,kosdaq,20180913,20000,22000,10%
440,디지캡,kosdaq,20180907,12000,13250,10.42%
441,대신밸런스스팩5호,kosdaq,20180830,2000,2050,2.5%
442,액트로,kosdaq,20180828,20000,20700,3.5%
443,오파스넷,kosdaq,20180824,11000,18000,63.64%
444,에이피티씨,kosdaq,20180823,9000,9310,3.44%
445,바이오솔루션,kosdaq,20180820,29000,28200,-2.76%
446,대유,kosdaq,20180810,9000,13250,47.22%
447,신한알파리츠(유가),kospi,20180808,5000,5330,6.6%
448,디아이티,kosdaq,20180807,10000,10550,5.5%
449,에스에스알,kosdaq,20180806,9000,18000,100%
450,휴네시온,kosdaq,20180802,10000,15000,50%
451,티웨이항공(유가),kospi,20180801,12000,11600,-3.33%
452,롯데정보통신(유가),kospi,20180727,29800,30550,2.52%
453,한국유니온제약,kosdaq,20180726,18000,23000,27.78%
454,엠코르셋,kosdaq,20180723,11500,11050,-3.91%
455,IBKS스팩9호,kosdaq,20180720,2000,2250,12.5%
456,올릭스,kosdaq,20180718,36000,72000,100%
