,cor_name,title
0,새빗켐,"박민규 새빗켐 대표 ""2차전지 순환 경제의 핵심 기업으로 도약"""
1,새빗켐,상장 앞둔 새빗켐 '글로벌 리사이클링' 기업 도약
2,새빗켐,"[7월 공모주 일정] 새빗켐, 성일하이텍 흥행 이을까...수요예측·공모가·주관..."
3,새빗켐,"[IPO] 새빗켐, 내달 상장...""성일하이텍 대비 가격 경쟁력"""
4,새빗켐,성일하이텍이 쏘아올린 공…하반기 '2차전지' 공모주 흥행 이어갈까
5,새빗켐,"현대오일뱅크 철회에도 쏘카·수산인더스트리 ""상장 추진중"""
6,새빗켐,현대오일뱅크 돌연 상장 철회...쏘카·수산인더스트리 상장일·공모가는?
7,새빗켐,신사업에 나타나는 ‘업계 1호 IPO’ 기업들…증권사들 IB 조직으로 대응
0,새빗켐,"한투, 새빗켐 '셀프 상장'…수십억 차익 내나"
1,새빗켐,"2차전지 관련주 새빗켐 에이치와이티씨, 성일하이텍 공모주 열풍 이을까"
2,새빗켐,20兆 몰린 성일하이텍…하반기 2차전지社 IPO흥행 이을까
3,새빗켐,"[더벨]""LG화학 손잡고 '10년 먹거리' 확보했다"""
4,새빗켐,[인사이드 배터리] 이제 막 시작인 폐배터리에 증권가가 호의적인 이유
5,새빗켐,기업공개 흥행 키워드 '2차전지'…내달 줄상장
6,새빗켐,"""도시 금광을 찾아서"" 약세장에 20조 몰렸다...폐배터리가 뭐길래"
7,새빗켐,[7월23일자] 비즈니스포스트 아침의 주요기사
0,새빗켐,2차전지 IPO 투심 녹인다… 새빗켐·HYTC 등 증시 출사표 잇따라
1,새빗켐,냉온탕 오가는 IPO 시장…흥행 키워드는 '2차전지'
2,새빗켐,"침체된 IPO 시장서 빛난 소·부·장 존재감, 하반기에도 지속?"
0,새빗켐,새빗켐·에이치와이티씨 일반청약
1,새빗켐,"새빗켐·에이치와이티씨, 일반 공모서 흥행할까"
2,새빗켐,"새빗켐·에이치와이티씨, 이번주 공모청약…어떤 기업?"
3,새빗켐,[증시캘린더]이번주(7월4주)성일하이텍 상장·새빗켐 공모 등
4,새빗켐,2차전지 '공모주 듀오' 출격…새빗켐·에이치와이티씨 일반청약
5,새빗켐,[공시줍줍]공모주달력 7월 25일~29일
6,새빗켐,[이번 주 IPO] 7월 넷째 주 수요예측·청약 일정
0,새빗켐,"새빗켐, 공모가 3만5000원 확정…희망밴드 최상단 초과"
1,새빗켐,"이번주 공모주 청약, 새빗켐·에이치와이티씨 등 2개사"
2,새빗켐,"새빗켐, 수요예측 흥행 성공…공모가 3만5000원 확정"
3,새빗켐,[이번 주 증시 캘린더] 성일하이텍 28일 상장…증거금만 20조원
4,새빗켐,"[유통경제 이슈] 코멕스산업, 28일까지 신세계백화점 죽전점에 팝업 행사 진행..."
5,새빗켐,"IPO 시장 '옥석' 부상한 폐배터리 재활용株, 관심 받는 비결"
6,새빗켐,"'흥행 실패' 공모주, 몸값 낮췄더니 상장 후 '훨훨'"
7,새빗켐,오늘의 증시 일정 (7월 26일)
8,새빗켐,[이슈플러스]FOMC·물량폭탄·2차전지…주간 키워드는
9,새빗켐,오늘의 증시 메모[7월 26일]
0,새빗켐,"'2차전지 관련주' 새빗켐, 수요예측 흥행… 오늘부터 일반청약"
1,새빗켐,"[증권소식] 새빗켐, 공모가 3만5000원 확정/삼성자산운용, 중퇴기금 전담운용..."
2,새빗켐,"[주린이의 공모주] 2차전지 새내기주, 연이은 IPO 출사표"
3,새빗켐,‘삼전→SKIET’ 개미心 변화…2차전지 IPO 연타석 흥행하나
4,새빗켐,"[장외시황] 새빗켐, 공모청약 시작… 지아이이노베이션 사상 최저가"
5,새빗켐,"'2차전지 부품株' HYTC, IPO 흥행 성공…공모가 1만5000원 확정"
6,새빗켐,에이치와이티씨(hytc) 일반 공모주 청약 일정·수요예측·공모가·상장일 '한...
7,새빗켐,오늘의 증시 메모[7월 27일]
8,새빗켐,오늘의 증시 일정 (7월 27일)
9,새빗켐,"[돈이 되는 뉴스] 폐배터리 전성시대, IPO 흥행이 주가 상승으로 이어질까?"
0,새빗켐,새빗켐 일반청약 경쟁률 1천724.96대 1…증거금 8조원 모여
1,새빗켐,"""대세는 2차전지 재활용""...증거금 8조 '흥행'"
2,새빗켐,"새빗켐, 일반청약 경쟁률 1724.96대 1 기록…증거금 8조750억 모여"
3,새빗켐,새빗켐 청약증거금 8조원 몰려…청약 경쟁률 1724.96대 1
4,새빗켐,"새빗켐, 공모청약 경쟁률 1,725대 1 기록…증거금 8조 넘었다"
5,새빗켐,"[시그널] 2차전지 공모주 흥행 질주…HYTC, 수요예측 경쟁률 1480.8 대 1"
6,새빗켐,"IPO기업 투자·주관한 증권사, 수익률 '천차만별'"
7,새빗켐,[마켓줌인] '20兆' 대박난 성일하이텍 따상 간다?
8,새빗켐,"'3조' 2차전지 대어 WCP, 9월로 공모 연기…시장 상황 고려"
9,새빗켐,2차전지만 빛 본 7월 IPO…수요예측 경쟁률도 '극과 극' 온도차
0,수산인더스트리,"[수익 내비게이터] 수산그룹 계열, 발전설비 대상 정비사업 영위! <수산인더스..."
1,수산인더스트리,[여의도 주식왕 2부] '수산인더스트리 vs 서울옥션 vs 케이씨피드' 여의도를 ...
2,수산인더스트리,"평택시 ㈜수산인더스트리, 나눔 문화 활성화"
3,수산인더스트리,"수산인더스트리, 코스피 상장… LG엔솔 이어 올해 두번째 입성"
4,수산인더스트리,수산인더스트리 유가증권시장 상장기념식
5,수산인더스트리,"[특징주]수산인더스트리, '美 480조 기후법안' 기대감...태양광 사업 영위 '강..."
6,수산인더스트리,[주간IPO] 수산인더스트리·새빗켐·유안타스팩9호 신규상장
7,수산인더스트리,[핫스탁]아이스크림에듀·수산인더스트리·현대중공업
8,수산인더스트리,"수산인더스트리, 유가증권시장 신규상장"
9,수산인더스트리,[도전! 369] SG·유신·수산인더스트리·칩스앤미디어
0,수산인더스트리,"다음주 공모주 시장, '최고 수요예측 경쟁률' 성일하이텍 포함 4곳 출격"
1,수산인더스트리,"서울시 상수도본부, ‘위험성평가 우수사례’ 우수상 수상"
2,수산인더스트리,"서울시 상수도사업본부, '위험성평가 우수사례 발표대회' 우수상"
3,수산인더스트리,"서울시 상수도, 정부 및 지자체 최초 '위험성평가 우수사례 발표대회' 우수상"
4,수산인더스트리,"서울시 상수도, 정부 및 지자체 최초 '위험성평가 우수사례 발표대회' 우수상"
0,수산인더스트리,다음 주 IPO는? 성일하이텍·아이씨에이치 일반 청약
1,수산인더스트리,[시그널] 코스피 6개월 공백 채울 새 상장 기업은?
2,수산인더스트리,[이번 주 IPO] 7월 셋째 주 수요예측·청약 일정
3,수산인더스트리,[공시줍줍]공모주달력 7월 18일~22일
4,수산인더스트리,공모주 열기 불지피나…이번주 수요예측·청약 기업은?
5,수산인더스트리,"성일하이텍, 18~19일 청약…에이프릴바이오 등 4곳도 '출사표'"
6,수산인더스트리,"[이번주 주요 정치·경제·사회] 새 정부 세법 개정 로드맵 발표...박진, 첫 ..."
7,수산인더스트리,[증시캘린더]이번주(7월 3주) 루닛 상장·성일하이텍 공모
8,수산인더스트리,복잡한 대내외 경제상황…할인 종목에 '주목'
0,수산인더스트리,"이번주 공모주 청약, 성일하이텍·수산인더스트리 등 4개사"
1,수산인더스트리,[7월 셋째 주 공모주 일정] 7월 셋째 주 공모주 성일하이텍·아이씨에이치·에...
2,수산인더스트리,"성일하이텍, 18~19일 공모주 청약…수산인더스트리 등 3개사도 실시"
3,수산인더스트리,"아이씨에이치, 공모가 3.4만원…수요예측 흥행 실패에 희망밴드 하단"
4,수산인더스트리,[이번 주 증시 캘린더] ‘수요 예측 경쟁률 사상 최대’ 성일하이텍 공모주 청...
5,수산인더스트리,"아이씨에이치·에이프릴바이오, 기관 수요예측 나란히 흥행 실패"
6,수산인더스트리,"'상장 임박' 에이프릴바이오·아이씨에이치, 수요예측 흥행 실패"
7,수산인더스트리,"""시장 수익률보단 낫다""…하반기 IPO시장 흐름은?"
8,수산인더스트리,조 단위 '대어'들이 온다…하반기 불붙는 IPO 시장
9,수산인더스트리,성일하이텍·새빗켐·HYTC·WCP···2차전지 공모주 축제 열릴까
0,수산인더스트리,"수산인더스트리, 수요예측 경쟁률 130대 1...공모가 3만5000원"
1,수산인더스트리,"[카드] 수산인더스트리, 공모가 3만5000원 확정"
2,수산인더스트리,[마켓인]수산인더스트리 공모가 3만5000원…희망범위 최하단
